numberOfKeys, averagePathLength
0,500
100,500
200,500
300,500
400,500
500,500
600,500
700,500
800,500
900,500
1000,500
1100,500
1200,500
1300,500
1400,500
1500,500
1600,500
1700,500
1800,500
1900,500
2000,500
2100,500
2200,500
2300,500
2400,500
2500,500
2600,500
2700,500
2800,500
2900,500
3000,500
3100,500
3200,500
3300,500
3400,500
3500,500
3600,500
3700,500
3800,500
3900,500
4000,500
4100,500
4200,500
4300,500
4400,500
4500,500
4600,500
4700,500
4800,500
4900,500
5000,500
5100,500
5200,500
5300,500
5400,500
5500,500
5600,500
5700,500
5800,500
5900,500
6000,500
6100,500
6200,500
6300,500
6400,500
6500,500
6600,500
6700,500
6800,500
6900,500
7000,500
7100,500
7200,500
7300,500
7400,500
7500,500
7600,500
7700,500
7800,500
7900,500
8000,500
8100,500
8200,500
8300,500
8400,500
8500,500
8600,500
8700,500
8800,500
8900,500
9000,500
9100,500
9200,500
9300,500
9400,500
9500,500
9600,500
9700,500
9800,500
9900,500
